trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
415,False,"{'a': 0.8, 'e': 0.009861948510395986}",20,10,16.237459653975176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.8, 'e': 0.009752528543791167}",20,9,7.66049177337447,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
417,False,"{'a': 0.8, 'e': 0.009644322609999353}",20,13,10.09587251750827,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.8, 'e': 0.009537317239123627}",35,23,20.589507756569766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.8, 'e': 0.009431499110717827}",20,5,22.202842568411526,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.8, 'e': 0.009326855052128366}",20,16,6.330945148569011,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.8, 'e': 0.00922337203685445}",20,13,11.069584975729168,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.8, 'e': 0.00912103718292649}",20,3,27.860384429666023,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.8, 'e': 0.009019837751302499}",20,8,21.707992594383956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.8, 'e': 0.008919761144282293}",20,13,12.432155553420213,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.8, 'e': 0.008820794903939272}",20,13,9.528475491306173,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.8, 'e': 0.00872292671056962}",20,10,17.49835239106002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.8, 'e': 0.008626144381158685}",30,3,44.89677454749114,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.8, 'e': 0.008530435867864406}",25,0,17.753541973677667,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
429,False,"{'a': 0.8, 'e': 0.008435789256517537}",20,7,20.367327760079434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.8, 'e': 0.008342192765138536}",20,6,22.66697950940944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.8, 'e': 0.008249634742470886}",25,14,19.298080453946152,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.8, 'e': 0.008158103666530714}",20,6,22.23634695013835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.8, 'e': 0.00806758814317248}",25,20,9.557479904352997,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.8, 'e': 0.007978076904670594}",20,9,17.002135603689663,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.8, 'e': 0.007889558808316764}",20,4,29.8663540311102,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.8, 'e': 0.00780202283503291}",20,0,17.332674100768465,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
437,False,"{'a': 0.8, 'e': 0.007715458087999459}",25,14,20.840261980081422,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.8, 'e': 0.007629853791298879}",25,20,9.864402483221832,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.8, 'e': 0.007545199288574238}",20,9,16.724788190002197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.8, 'e': 0.007461484041702669}",25,3,30.60354039735788,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.8, 'e': 0.007378697629483537}",20,10,17.708484807737424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.8, 'e': 0.007296829746341169}",20,0,29.91299938177962,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
443,False,"{'a': 0.8, 'e': 0.0072158702010419766}",20,7,26.593506589574197,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.8, 'e': 0.007135808915425812}",25,14,19.964326144691633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.8, 'e': 0.007056635923151397}",25,16,18.539062124016382,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.8, 'e': 0.006978341368455674}",35,21,23.131287245324867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.8, 'e': 0.006900915504926927}",25,16,5.661081101090366,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
448,False,"{'a': 0.8, 'e': 0.006824348694291504}",20,11,17.353208644387678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.8, 'e': 0.006748631405214009}",20,2,28.68107087177661,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.8, 'e': 0.006673754212110808}",20,8,21.67131103972328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.8, 'e': 0.006599707793976688}",20,0,27.76899875431425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
452,False,"{'a': 0.8, 'e': 0.006526482933224551}",25,18,13.655463871056513,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.8, 'e': 0.006454070514537964}",30,5,40.68635805021493,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.8, 'e': 0.006382461523736455}",25,18,11.936576077011663,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.8, 'e': 0.006311647046653392}",30,11,-4.415273666818632,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
