trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,True,"{'a': 0, 'e': 0}",30,0,30.315292984773784,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,True,"{'a': 0, 'e': 0}",20,5,17.459768208808164,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,True,"{'a': 0, 'e': 0}",30,11,27.412268788507525,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,True,"{'a': 0, 'e': 0}",25,19,7.420395720490022,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,True,"{'a': 0, 'e': 0}",30,0,27.017535495959443,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,True,"{'a': 0, 'e': 0}",30,0,28.694003879212296,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,True,"{'a': 0, 'e': 0}",20,0,18.81652470579691,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,True,"{'a': 0, 'e': 0}",20,11,-28.519866056069603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,True,"{'a': 0, 'e': 0}",25,0,21.11929978922059,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,True,"{'a': 0, 'e': 0}",20,0,14.687236934210613,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,True,"{'a': 0, 'e': 0}",25,0,27.326488905770603,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,True,"{'a': 0, 'e': 0}",30,0,11.09500749492825,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
146,True,"{'a': 0, 'e': 0}",20,3,-1.4478514894577585,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,True,"{'a': 0, 'e': 0}",20,0,20.148360019580917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,True,"{'a': 0, 'e': 0}",20,0,19.847123423448707,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,True,"{'a': 0, 'e': 0}",25,10,25.07293258583925,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,True,"{'a': 0, 'e': 0}",20,0,20.721178171707376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,True,"{'a': 0, 'e': 0}",25,0,33.12362890271665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
