trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,True,"{'a': 0, 'e': 0}",25,0,-19.216864863623282,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
61,True,"{'a': 0, 'e': 0}",30,0,34.4914282264789,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,True,"{'a': 0, 'e': 0}",20,0,23.737403173967476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,True,"{'a': 0, 'e': 0}",35,0,40.57120107887168,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,True,"{'a': 0, 'e': 0}",20,10,14.058533139029143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",20,0,17.51939679192465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,True,"{'a': 0, 'e': 0}",20,16,4.723821613401508,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",25,0,26.550383617189866,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,True,"{'a': 0, 'e': 0}",25,0,6.82558139050889,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,True,"{'a': 0, 'e': 0}",35,8,35.162291208036955,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",20,0,23.366175407930875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,True,"{'a': 0, 'e': 0}",25,0,35.28564676027215,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,True,"{'a': 0, 'e': 0}",25,0,32.007623734061596,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,True,"{'a': 0, 'e': 0}",25,15,-24.272937992400202,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,True,"{'a': 0, 'e': 0}",20,0,22.088281923172488,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,True,"{'a': 0, 'e': 0}",30,0,-10.995195887260255,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
76,True,"{'a': 0, 'e': 0}",30,1,-3.458146037971353,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,True,"{'a': 0, 'e': 0}",20,0,22.647760530745625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,True,"{'a': 0, 'e': 0}",20,0,-16.075340793990016,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
79,True,"{'a': 0, 'e': 0}",25,0,-17.248175687823796,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,True,"{'a': 0, 'e': 0}",35,21,22.572251881960597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",25,16,12.024694137713933,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",30,0,-3.9701856973365692,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,True,"{'a': 0, 'e': 0}",25,7,-18.513542157566267,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,True,"{'a': 0, 'e': 0}",35,0,-10.598293163656384,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
85,True,"{'a': 0, 'e': 0}",30,0,37.551156542654596,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,True,"{'a': 0, 'e': 0}",30,0,30.063640624479568,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,True,"{'a': 0, 'e': 0}",30,0,35.572406628253674,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,True,"{'a': 0, 'e': 0}",20,0,22.016046326005636,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,True,"{'a': 0, 'e': 0}",20,0,-6.14969213647796,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
90,True,"{'a': 0, 'e': 0}",20,0,-20.723373805512544,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
91,True,"{'a': 0, 'e': 0}",20,10,18.91545708991624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",25,6,-21.534944678846333,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,True,"{'a': 0, 'e': 0}",20,11,11.132186179007423,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",30,0,41.44264711622579,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,True,"{'a': 0, 'e': 0}",20,0,2.2712388808399964,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
96,True,"{'a': 0, 'e': 0}",20,14,10.030490989136787,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",25,0,26.641575916682168,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,True,"{'a': 0, 'e': 0}",30,0,36.84633558625925,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,True,"{'a': 0, 'e': 0}",30,16,19.40479269839953,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",20,8,14.977634567058075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,True,"{'a': 0, 'e': 0}",20,0,19.810516874951347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,True,"{'a': 0, 'e': 0}",20,0,26.073256415672905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,True,"{'a': 0, 'e': 0}",25,0,-11.612981780445649,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
104,True,"{'a': 0, 'e': 0}",25,16,15.998199248020642,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,True,"{'a': 0, 'e': 0}",20,0,20.12003881059782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,True,"{'a': 0, 'e': 0}",20,0,23.822271658445956,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,True,"{'a': 0, 'e': 0}",25,0,24.47771400644988,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,True,"{'a': 0, 'e': 0}",25,0,29.01980766881318,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,True,"{'a': 0, 'e': 0}",30,0,-8.670898030609386,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
110,True,"{'a': 0, 'e': 0}",25,20,6.294202592833288,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,True,"{'a': 0, 'e': 0}",20,0,25.828017138253873,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,True,"{'a': 0, 'e': 0}",25,0,31.220274908143356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,True,"{'a': 0, 'e': 0}",30,0,39.08160448428661,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,True,"{'a': 0, 'e': 0}",20,0,-25.41730467737466,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
115,True,"{'a': 0, 'e': 0}",20,0,20.969334997878686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,True,"{'a': 0, 'e': 0}",35,0,42.857146737336095,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,True,"{'a': 0, 'e': 0}",30,6,30.18607329156735,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,True,"{'a': 0, 'e': 0}",25,0,-46.226797030737394,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
119,True,"{'a': 0, 'e': 0}",25,0,27.32643846438693,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,True,"{'a': 0, 'e': 0}",25,9,27.474832085575912,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,True,"{'a': 0, 'e': 0}",20,0,26.33815308427637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,True,"{'a': 0, 'e': 0}",30,0,19.323799342648783,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
123,True,"{'a': 0, 'e': 0}",20,0,-52.43336560269728,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
124,True,"{'a': 0, 'e': 0}",25,7,22.92252638665356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,True,"{'a': 0, 'e': 0}",25,0,-18.795928641757143,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
126,True,"{'a': 0, 'e': 0}",35,0,21.62140710749238,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,True,"{'a': 0, 'e': 0}",25,0,31.920773215631776,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,True,"{'a': 0, 'e': 0}",20,0,9.607627461321815,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
129,True,"{'a': 0, 'e': 0}",20,0,19.987063713795383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,True,"{'a': 0, 'e': 0}",25,0,32.75637623203524,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,True,"{'a': 0, 'e': 0}",20,0,18.360357420909903,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,True,"{'a': 0, 'e': 0}",20,0,-18.620003953827013,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,True,"{'a': 0, 'e': 0}",25,0,27.779592551749275,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,True,"{'a': 0, 'e': 0}",20,0,24.94770127119623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,True,"{'a': 0, 'e': 0}",25,2,25.559088241490052,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,True,"{'a': 0, 'e': 0}",20,0,-18.725095657919084,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
137,True,"{'a': 0, 'e': 0}",20,0,20.07682760947008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,True,"{'a': 0, 'e': 0}",20,16,7.090942050205224,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,True,"{'a': 0, 'e': 0}",20,0,21.909937941769584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,True,"{'a': 0, 'e': 0}",20,0,20.085629555524452,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,True,"{'a': 0, 'e': 0}",20,0,23.65243020968994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
